City;Month;Min. Temperature °C (°F);Max. Temperature °C (°F);Precipitation / Rainfall mm (in);avg. Sun hours (hours);Rainy days (d)
Carlisle;September;48.9;60;76 (2);4.7;10
Carlisle;October;44.2;54;97 (3);4.0;11
Carlisle;November;38.5;47.1;93 (3);3.4;11
Carlisle;December;34.5;43;106 (4);2.9;11
Catania;January;45.4;57.9;83 (3);6.5;6
Catania;February;45.2;58.4;63 (2);7.3;5
Catania;March;48.4;62.9;55 (2);8.7;5
Catania;April;53.2;67.7;48 (1);10.0;5
Catania;May;60.1;75.6;30 (1);11.7;4
Catania;June;67.9;84.4;21 (0);12.7;2
Catania;July;73.1;90.4;8 (0);12.7;1
Catania;August;74.1;90.4;17 (0);11.9;2
Catania;September;68.5;82.1;56 (2);9.7;5
Catania;October;62.5;74.8;67 (2);8.0;6
Catania;November;55.2;66.6;70 (2);6.8;6
Catania;December;48.7;60.1;68 (2);6.4;6
Cavtat;January;40.3;49;191 (7);6.0;9
Cavtat;February;40.9;50.5;178 (7);7.0;8
Cavtat;March;45;55.4;150 (5);8.5;8
Cavtat;April;50.7;61.2;143 (5);10.2;8
Cavtat;May;57.8;68.4;77 (3);12.0;5
Cavtat;June;65;75.9;39 (1);13.0;3
Cavtat;July;69.3;80.6;22 (0);13.1;2
Cavtat;August;70.1;81.4;34 (1);12.1;2
Cavtat;September;63.3;73.5;131 (5);10.1;6
Cavtat;October;56.6;66.4;211 (8);8.1;8
Cavtat;November;50.2;58.9;315 (12);6.5;10
Cavtat;December;42.9;51.5;239 (9);6.0;10
Central Valley;January;12.3;35.4;43 (1);6.7;6
Central Valley;February;15.9;37.4;47 (1);7.2;7
Central Valley;March;22.8;45.6;54 (2);8.9;7
Central Valley;April;30.6;54.6;60 (2);9.9;8
Central Valley;May;40.5;66.6;52 (2);11.5;7
Central Valley;June;52.3;80.6;23 (0);13.0;3
Central Valley;July;59.9;86.9;24 (0);12.9;4
Central Valley;August;57.2;83.6;32 (1);12.0;5
Central Valley;September;49.4;75.9;33 (1);10.7;5
Central Valley;October;37.4;61.8;41 (1);8.9;5
Central Valley;November;25.2;47.5;40 (1);7.5;6
Central Valley;December;12.5;35.3;44 (1);6.4;6
Chalkida;January;40.9;52.6;71 (2);4.6;8
Chalkida;February;41.6;55.3;63 (2);5.7;7
Chalkida;March;45.1;61.3;63 (2);7.5;6
Chalkida;April;51;68.7;31 (1);9.9;5
Chalkida;May;59.8;78.3;32 (1);11.6;4
Chalkida;June;68.1;86.4;15 (0);12.8;2
Chalkida;July;72.5;90.4;12 (0);12.6;2
Chalkida;August;72.2;89.3;11 (0);11.6;2
Chalkida;September;66.7;81.8;31 (1);9.5;4
Chalkida;October;58.9;72;43 (1);6.8;5
Chalkida;November;51.5;63.4;56 (2);5.1;6
Chalkida;December;44.3;55.1;81 (3);4.4;7
Chania;January;47.6;53.6;156 (6);6.1;11
Chania;February;47.7;54;140 (5);6.9;10
Chania;March;50.1;57.6;88 (3);8.6;8
Chania;April;53.9;62.1;39 (1);10.2;4
Chania;May;60.1;68.8;26 (1);11.7;3
Chania;June;66.9;75.9;6 (0);12.6;1
Chania;July;71.1;80.4;3 (0);12.5;1
Chania;August;71.7;80.3;6 (0);11.6;1
Chania;September;67.9;75.8;27 (1);10.1;3
Chania;October;62.4;69;82 (3);8.4;7
Chania;November;56.7;62.9;109 (4);7.1;8
Chania;December;50.9;56.5;171 (6);5.9;12
Charleston;January;44.8;58.3;81 (3);7.0;6
Charleston;February;47.5;61.3;84 (3);7.3;6
Charleston;March;52.4;66.1;81 (3);8.3;6
Charleston;April;59.6;72.8;74 (2);9.5;6
Charleston;May;67.3;79.5;70 (2);10.2;7
Charleston;June;74.2;84.6;133 (5);10.7;11
Charleston;July;76.8;86.6;143 (5);10.7;13
Charleston;August;76.4;85.5;166 (6);9.5;14
Charleston;September;72.3;81.9;128 (5);8.4;10
Charleston;October;63.5;75.2;104 (4);7.8;6
Charleston;November;53.9;67;65 (2);7.5;5
Charleston;December;48.9;61.5;87 (3);6.5;6
Charlotte;January;33.9;50.5;93 (3);6.7;7
Charlotte;February;36.1;54.8;79 (3);7.1;6
Charlotte;March;42;62.3;108 (4);8.0;7
Charlotte;April;51;71.9;88 (3);9.1;6
Charlotte;May;59.8;80.1;76 (2);9.9;8
Charlotte;June;68;86.9;97 (3);10.6;9
Charlotte;July;71.3;89.2;100 (3);10.5;10
Charlotte;August;70.5;87.8;100 (3);9.5;9
Charlotte;September;65;81.9;98 (3);8.0;7
Charlotte;October;53.9;71.6;87 (3);7.3;5
Charlotte;November;43.5;61.5;80 (3);7.0;5
Charlotte;December;37.4;53.5;93 (3);6.1;7
Chartres;January;34.9;44;55 (2);2.8;8
Chartres;February;34.1;46;49 (1);3.9;8
Chartres;March;37.4;52.2;51 (2);5.6;8
Chartres;April;41.7;58.1;54 (2);7.7;8
Chartres;May;48.2;64.1;67 (2);8.2;8
Chartres;June;54.3;70.8;57 (2);9.1;7
Chartres;July;58;75;56 (2);9.5;7
Chartres;August;57.5;74.8;55 (2);8.8;7
Chartres;September;52.9;69.3;49 (1);7.0;6
Chartres;October;48.2;61.1;63 (2);4.9;8
Chartres;November;40.9;50.9;62 (2);3.3;9
Chartres;December;35.8;45.1;63 (2);3.0;9
Chefchaouen;January;40.2;54.7;94 (3);5.4;7
Chefchaouen;February;40.6;56;92 (3);5.7;7
Chefchaouen;March;43.9;60.4;105 (4);6.7;7
Chefchaouen;April;46.8;64;97 (3);7.5;8
Chefchaouen;May;52.1;70.3;68 (2);9.1;7
Chefchaouen;June;58.8;79.7;17 (0);11.2;2
Chefchaouen;July;64.4;87;3 (0);12.0;1
Chefchaouen;August;65.9;87.4;10 (0);11.0;1
Chefchaouen;September;60.7;78.6;48 (1);8.6;5
Chefchaouen;October;55.4;71.2;110 (4);7.2;7
Chefchaouen;November;46.9;60.4;117 (4);5.8;7
Chefchaouen;December;42.8;56.4;117 (4);5.2;7
Chennai;January;69.5;82.4;17 (0);7.4;3
Chennai;February;69.9;85.9;9 (0);8.2;2
Chennai;March;73.5;90.3;11 (0);8.9;2
Chennai;April;79.1;93.8;18 (0);9.6;2
Chennai;May;82.4;97.3;48 (1);10.9;4
Chennai;June;81.9;95.5;68 (2);11.2;7
Chennai;July;80.7;93.6;70 (2);10.9;10
Chennai;August;79.5;91.7;99 (3);10.6;11
Chennai;September;78.7;90.5;110 (4);10.1;12
Chennai;October;76.3;87;223 (8);8.4;14
Chennai;November;73.9;83.4;228 (8);7.3;13
Chennai;December;71.6;81.5;113 (4);6.8;7
Cherbourg;January;41.7;46.7;98 (3);3.4;11
Cherbourg;February;40.9;46.5;78 (3);4.3;10
Cherbourg;March;42.6;49.2;63 (2);5.8;9
Cherbourg;April;45.4;53.1;57 (2);8.1;8
Cherbourg;May;50.2;57.9;51 (2);8.7;7
Cherbourg;June;55;62.9;50 (1);9.7;7
Cherbourg;July;58.6;66.3;45 (1);9.8;7
Cherbourg;August;59.3;66.4;59 (2);8.8;8
Cherbourg;September;57.4;63.9;64 (2);6.9;8
Cherbourg;October;53.3;59;103 (4);5.2;11
Cherbourg;November;47.6;52.5;119 (4);4.2;13
Cherbourg;December;43.5;48.4;116 (4);3.6;12
Chester;January;36.5;44.7;69 (2);3.6;10
Chester;February;35.9;45.5;58 (2);4.1;9
Chester;March;37.4;49.3;64 (2);4.9;10
Chester;April;40.9;54.2;70 (2);6.5;10
Chester;May;46.6;59.7;75 (2);7.7;10
Chester;June;51.9;64.5;86 (3);7.6;10
Chester;July;55.1;67.4;89 (3);7.7;11
Chester;August;55;66.2;84 (3);6.8;11
Chester;September;51.6;62.7;74 (2);5.4;10
Chester;October;47;56.6;76 (2);4.6;10
Chester;November;41.2;49.4;77 (3);3.8;10
Chester;December;37.4;45.4;77 (3);3.4;10
Chiang Mai;January;59.8;81.3;8 (0);8.8;1
Chiang Mai;February;64.2;87.5;3 (0);9.9;1
Chiang Mai;March;69.5;92.2;13 (0);10.3;2
Chiang Mai;April;74.7;95.1;27 (1);10.6;3
Chiang Mai;May;74.7;89.4;110 (4);9.5;11
Chiang Mai;June;74.2;86.1;129 (5);9.2;15
Chiang Mai;July;73.6;84.6;186 (7);9.3;17
Chiang Mai;August;73;83.4;240 (9);8.7;18
Chiang Mai;September;72.1;83.7;235 (9);7.9;17
Chiang Mai;October;69.6;83.2;121 (4);7.6;12
Chiang Mai;November;64.5;82.3;25 (0);8.1;3
Chiang Mai;December;59.3;79.8;11 (0);8.1;1
Chicago;January;20.6;31.3;79 (3);3.8;8
Chicago;February;21.3;33.2;67 (2);5.5;6
Chicago;March;30;41.4;76 (2);7.4;7
Chicago;April;41;53;112 (4);8.7;9
Chicago;May;52.8;65.3;106 (4);9.9;8
Chicago;June;64.1;75.8;95 (3);11.1;8
Chicago;July;69.9;80.9;86 (3);11.5;8
Chicago;August;69.1;79.3;101 (3);10.4;8
Chicago;September;62.5;73.3;81 (3);9.0;7
Chicago;October;50.5;60.6;99 (3);6.9;8
Chicago;November;38.6;47.9;92 (3);5.4;7
Chicago;December;27.2;36.3;81 (3);3.7;8
Christchurch;January;55;71.5;54 (2);9.4;7
Christchurch;February;54.6;71;44 (1);8.5;6
Christchurch;March;52.1;68;49 (1);7.7;6
Christchurch;April;47.2;61.9;57 (2);6.6;7
Christchurch;May;43;56.7;55 (2);6.1;7
Christchurch;June;38.1;51.3;60 (2);5.6;7
Christchurch;July;36.4;50.1;55 (2);5.6;7
Christchurch;August;38.3;52.5;55 (2);6.2;7
Christchurch;September;41.4;57;46 (1);7.7;6
Christchurch;October;44.4;60.8;53 (2);8.7;8
Christchurch;November;48.2;64.9;52 (2);9.3;7
Christchurch;December;52.8;69;55 (2);9.8;7
Coimbatore;January;65;85.6;13 (0);8.4;2
Coimbatore;February;67.4;90.1;14 (0);9.4;2
Coimbatore;March;71.7;94.5;24 (0);10.0;3
Coimbatore;April;75.4;95.8;43 (1);10.3;7
Coimbatore;May;75;91.7;77 (3);9.8;12
Coimbatore;June;72.6;85.1;107 (4);8.2;11
Coimbatore;July;71.5;83.7;110 (4);8.0;12
Coimbatore;August;71.4;83.7;104 (4);7.9;12
Coimbatore;September;71.7;85.4;87 (3);8.4;12
Coimbatore;October;71.1;84.3;181 (7);8.2;16
Coimbatore;November;68.8;82.3;141 (5);7.4;12
Coimbatore;December;65.8;82.1;51 (2);7.3;6
Cologne;January;32.9;41.1;96 (3);3.2;11
Cologne;February;32.6;43.3;78 (3);4.2;10
Cologne;March;35.8;50;77 (3);5.7;10
Cologne;April;41.4;58.2;59 (2);8.3;9
Cologne;May;48.8;64.8;67 (2);9.2;9
Cologne;June;54.5;70.4;77 (3);9.8;9
Cologne;July;58.4;73.8;86 (3);10.0;10
Cologne;August;57.9;73;86 (3);8.9;9
Cologne;September;52.6;66.7;77 (3);6.9;9
Cologne;October;47;58.4;86 (3);5.2;9
Cologne;November;40.1;48.8;93 (3);3.7;11
Cologne;December;34.8;42.6;107 (4);2.9;12
Colonia;January;69.3;82.4;86 (3);11.3;5
Colonia;February;68.6;80.2;112 (4);10.0;6
Colonia;March;64.9;76;106 (4);8.7;6
Colonia;April;59.8;70;99 (3);7.8;6
Colonia;May;54.2;63.1;75 (2);6.5;5
Colonia;June;49.3;58.4;72 (2);6.2;5
Colonia;July;47.5;57;77 (3);6.5;5
Colonia;August;49.6;60.5;78 (3);7.2;5
Colonia;September;52.2;63.6;83 (3);7.8;6
Colonia;October;57.1;68.8;116 (4);8.6;7
Colonia;November;61.5;74.7;108 (4);10.6;6
Colonia;December;66;79.6;89 (3);11.4;6
Copenhagen;January;29.8;36.8;56 (2);2.5;9
Copenhagen;February;29.3;37.5;46 (1);3.6;7
Copenhagen;March;31.4;43;47 (1);5.4;8
Copenhagen;April;37.6;52.8;45 (1);8.6;7
Copenhagen;May;45.6;61.1;56 (2);10.1;8
Copenhagen;June;52.4;66.2;77 (3);10.6;8
Copenhagen;July;56.8;70.7;77 (3);10.6;9
Copenhagen;August;56.6;69.2;82 (3);9.6;10
Copenhagen;September;51.8;63;64 (2);7.2;8
Copenhagen;October;44.8;53.6;65 (2);4.7;9
Copenhagen;November;38.6;45.3;56 (2);3.0;9
Copenhagen;December;32.9;39.6;57 (2);2.4;9
Cordoba;January;65.7;84.4;145 (5);10.1;10
Cordoba;February;64.3;81.4;123 (4);8.5;9
Cordoba;March;60.8;77.3;126 (4);7.5;9
Cordoba;April;55.4;71.9;81 (3);6.5;7
Cordoba;May;48.7;65;39 (1);6.2;5
Cordoba;June;43;61.8;18 (0);7.1;2
Cordoba;July;41;60.8;16 (0);7.5;3
Cordoba;August;43.8;66.1;20 (0);8.5;2
Cordoba;September;48.4;70.8;39 (1);8.8;4
Cordoba;October;54.7;75.2;90 (3);8.5;8
Cordoba;November;59.5;80.1;110 (4);9.9;9
Cordoba;December;63.7;83.4;137 (5);10.3;10
Corinth;January;40.7;51.1;58 (2);5.5;7
Corinth;February;41.2;52.9;53 (2);6.4;6
Corinth;March;44.3;58.7;53 (2);8.2;5
Corinth;April;49.6;65.6;24 (0);10.4;3
Corinth;May;57.5;74.8;20 (0);12.1;3
Corinth;June;65.7;83.5;7 (0);13.0;1
Corinth;July;70.8;88.2;3 (0);12.9;1
Corinth;August;71.4;87.6;3 (0);12.0;1
Corinth;September;65.2;79.5;18 (0);10.3;2
Corinth;October;57.8;70.2;33 (1);7.8;3
Corinth;November;50.6;61.5;54 (2);6.1;5
Corinth;December;43.8;53.6;65 (2);5.3;7
Cork;January;39.4;46.9;86 (3);3.3;10
Cork;February;38.9;47.1;70 (2);3.7;9
Cork;March;39.7;49.3;67 (2);4.3;9
Cork;April;42.4;53;73 (2);5.7;10
Cork;May;47.1;57.5;73 (2);6.0;10
Cork;June;51.7;62.2;72 (2);6.2;9
Cork;July;54.9;65;73 (2);5.5;9
Cork;August;54.7;64.3;72 (2);5.1;9
Cork;September;52.3;61.3;69 (2);4.3;8
Cork;October;48.3;56.2;92 (3);3.9;9
Cork;November;43;50.4;83 (3);3.7;9
Cork;December;40.6;47.6;87 (3);3.1;10
County;January;75.4;88.9;29 (1);7.9;4
County;February;75.6;89.8;20 (0);7.9;3
County;March;76;88.6;64 (2);8.0;12
County;April;74.9;84.2;143 (5);7.1;19
County;May;73.6;81.1;227 (8);7.1;18
County;June;71.9;79.5;102 (4);7.9;16
County;July;70.6;78.6;86 (3);8.2;17
County;August;70.2;79.3;74 (2);7.9;17
County;September;71;81;64 (2);7.7;15
County;October;72.2;82.7;97 (3);7.2;15
County;November;73.4;84.5;85 (3);7.3;16
County;December;74.7;87;69 (2);8.3;13
Crete;January;35.2;44.3;59 (2);3.0;9
Crete;February;34.6;46.4;54 (2);4.0;8
Crete;March;38;52.8;54 (2);5.8;8
Crete;April;42.7;59.3;57 (2);8.1;8
Crete;May;49.4;65.4;69 (2);8.7;9
Crete;June;55.4;71.7;61 (2);9.6;8
Crete;July;59.3;75.5;60 (2);10.1;8
Crete;August;58.6;75.2;60 (2);9.2;7
Crete;September;53.7;69.5;52 (2);7.3;6
Crete;October;48.8;61.5;65 (2);5.1;8
Crete;November;41.4;51.2;64 (2);3.4;9
Crete;December;36.3;45.4;73 (2);3.1;10
Crewe;January;32.3;47.1;86 (3);6.8;6
Crewe;February;33.7;50.9;75 (2);7.5;6
Crewe;March;39.9;58.8;99 (3);8.0;7
Crewe;April;49.8;69.2;81 (3);9.1;7
Crewe;May;58.8;77;83 (3);9.6;8
Crewe;June;66.9;84.6;86 (3);10.6;8
Crewe;July;70.8;87.9;98 (3);10.6;9
Crewe;August;69.8;86.4;99 (3);9.7;8
Crewe;September;64;79.7;106 (4);7.6;7
Crewe;October;53.3;69.5;94 (3);7.2;5
Crewe;November;43;59;77 (3);7.1;5
Crewe;December;36;50.3;89 (3);6.4;6
Curitiba;January;63.7;76.2;233 (9);5.6;18
Curitiba;February;64;76.5;199 (7);6.1;16
Curitiba;March;62.7;74.9;137 (5);5.2;15
Curitiba;April;59.3;72.1;84 (3);4.9;9
Curitiba;May;53.6;66.1;100 (3);4.7;8
Curitiba;June;51.2;64.8;101 (3);5.5;7
Curitiba;July;49.9;64.5;104 (4);5.8;6
Curitiba;August;51;67.5;84 (3);6.3;6
Curitiba;September;54;69.5;144 (5);5.3;9
Curitiba;October;57.3;71.9;142 (5);4.8;12
Curitiba;November;58.9;72.6;134 (5);5.0;13
Curitiba;December;61.9;75.5;168 (6);5.7;15
Delphi;January;20.1;34.7;72 (2);4.8;7
Delphi;February;22.6;39;65 (2);5.7;6
Delphi;March;32.1;50.7;82 (3);7.2;8
Delphi;April;43.5;63.7;107 (4);8.7;9
Delphi;May;54.3;73.2;109 (4);9.8;9
Delphi;June;63.3;80.6;107 (4);10.9;9
Delphi;July;66.4;83.3;90 (3);10.9;8
Delphi;August;65.3;82.5;83 (3);9.8;7
Delphi;September;59.2;77.4;67 (2);8.9;6
Delphi;October;48.3;64.7;78 (3);7.1;6
Delphi;November;36.8;51.5;81 (3);5.9;6
Delphi;December;25.7;39;73 (2);4.8;7
Den Haag;January;36.7;43.1;71 (2);3.5;10
Den Haag;February;35.9;43.7;57 (2);4.4;9
Den Haag;March;38.5;48.2;56 (2);5.8;9
Den Haag;April;43.3;54.8;51 (2);8.3;8
Den Haag;May;49.6;60.6;62 (2);9.4;9
Den Haag;June;54.6;65.5;64 (2);9.9;8
Den Haag;July;58.9;69.2;79 (3);10.1;10
Den Haag;August;59.1;69.1;83 (3);9.2;10
Den Haag;September;55.8;65;82 (3);7.1;10
Den Haag;October;50.1;58.1;81 (3);5.5;10
Den Haag;November;43.7;50.3;81 (3);3.9;11
Den Haag;December;38.7;44.7;80 (3);3.3;11
Denver;January;16.2;42.5;24 (0);7.8;4
Denver;February;17.2;45;25 (0);8.4;4
Denver;March;24.9;54.5;51 (2);9.4;6
Denver;April;32.7;61.7;73 (2);10.0;7
Denver;May;41.7;69.6;86 (3);10.7;9
Denver;June;52.7;81.9;55 (2);12.2;6
Denver;July;59.5;87.2;44 (1);12.5;6
Denver;August;57.8;84.7;42 (1);11.8;5
Denver;September;50.2;78.2;38 (1);10.2;4
Denver;October;37.6;65.3;43 (1);8.7;5
Denver;November;25.5;52.2;34 (1);8.1;4
Denver;December;16.3;41.5;23 (0);7.5;4
Derry;January;16.4;32.4;83 (3);6.0;7
Derry;February;18.5;35.6;78 (3);6.8;6
Derry;March;25.8;43.3;102 (4);7.2;8
Derry;April;37.4;56.3;99 (3);8.3;8
Derry;May;48.4;66.8;83 (3);8.6;8
Derry;June;58.1;75.8;92 (3);9.8;8
Derry;July;64.3;82.1;84 (3);10.7;7
Derry;August;63.2;80.3;87 (3);9.7;7
Derry;September;56.8;73.1;87 (3);7.9;6
Derry;October;45.4;59.9;101 (3);6.4;7
Derry;November;34.9;48.4;88 (3);5.8;7
Derry;December;24.5;37.8;106 (4);5.4;7
Detroit;January;18.8;31.4;67 (2);4.1;8
Detroit;February;19.8;34.1;61 (2);5.2;6
Detroit;March;28;44.2;67 (2);6.8;7
Detroit;April;40;57.2;93 (3);8.4;8
Detroit;May;52.2;68.8;94 (3);10.0;9
Detroit;June;62.1;77.9;90 (3);11.1;8
Detroit;July;66.4;82.1;83 (3);11.4;8
Detroit;August;65.3;79.9;82 (3);9.9;8
Detroit;September;59.3;73.4;71 (2);8.4;6
Detroit;October;47.5;60.5;72 (2);6.8;7
Detroit;November;36.3;47.7;72 (2);5.2;7
Detroit;December;25.9;36.2;70 (2);3.7;8
Doha;January;24.7;34.2;56 (2);2.9;9
Doha;February;25.7;37.8;43 (1);4.1;7
Doha;March;30.9;46;55 (2);5.7;9
Doha;April;38.6;56.7;43 (1);8.8;7
Doha;May;47.3;64.6;62 (2);10.3;9
Doha;June;53.9;70.6;69 (2);11.2;9
Doha;July;57.6;74.2;78 (3);11.5;9
Doha;August;57.3;74.2;66 (2);10.6;7
Doha;September;50.2;65.4;62 (2);7.4;7
Doha;October;42.5;55.3;50 (1);4.7;7
Doha;November;35.4;44.9;54 (2);2.8;8
Doha;December;28.1;36.7;58 (2);2.7;9
Dubai;January;57.5;75.8;17 (0);8.7;2
Dubai;February;59;79;15 (0);9.6;2
Dubai;March;62.9;84.9;16 (0);10.5;2
Dubai;April;69.4;93.8;4 (0);11.4;0
Dubai;May;76;101.9;0 (0);12.0;0
Dubai;June;79.9;105.4;0 (0);12.2;0
Dubai;July;84.5;107.8;2 (0);12.2;0
Dubai;August;84.6;108.1;0 (0);11.7;0
Dubai;September;80.4;103.9;0 (0);11.0;0
Dubai;October;74.4;97.4;1 (0);10.2;0
Dubai;November;67.5;87.4;3 (0);9.5;1
Dubai;December;60.5;79.3;10 (0);8.8;1
Dublin;January;36.6;44.5;75 (2);3.4;10
Dublin;February;36.2;45.1;62 (2);3.8;9
Dublin;March;37.4;48;64 (2);4.7;9
Dublin;April;40.6;52;72 (2);6.0;11
Dublin;May;45.6;57.1;73 (2);7.0;11
Dublin;June;50.6;62;79 (3);7.0;10
Dublin;July;53.8;64.8;82 (3);6.3;11
Dublin;August;53.4;63.9;83 (3);5.7;11
Dublin;September;50.6;60.6;74 (2);4.7;10
Dublin;October;46.2;54.8;85 (3);4.2;9
Dublin;November;40.7;48.5;91 (3);3.8;10
Dublin;December;37.6;45.1;79 (3);3.3;10
Dubrovnik;January;38.4;48.3;154 (6);5.8;8
Dubrovnik;February;39.1;49.9;149 (5);6.6;8
Dubrovnik;March;43.4;55.1;133 (5);8.2;8
Dubrovnik;April;49.2;61.1;142 (5);9.7;9
Dubrovnik;May;56.3;68.5;95 (3);11.6;8
Dubrovnik;June;63.5;76.1;62 (2);12.7;6
Dubrovnik;July;67.8;81;42 (1);13.0;4
Dubrovnik;August;68.4;81.7;51 (2);12.0;5
Dubrovnik;September;61.7;73.4;135 (5);9.9;7
Dubrovnik;October;54.9;66;196 (7);7.8;8
Dubrovnik;November;48.4;58.2;252 (9);6.1;10
Dubrovnik;December;41.1;50.6;192 (7);5.8;10
Eastern;January;35.9;53.1;63 (2);6.8;7
Eastern;February;38.4;57.4;60 (2);7.8;7
Eastern;March;44.6;65.7;61 (2);9.5;6
Eastern;April;52.9;75.8;49 (1);11.1;6
Eastern;May;62.9;87.6;26 (1);12.5;3
Eastern;June;73.5;99.7;1 (0);13.1;0
Eastern;July;79.7;106.5;0 (0);12.9;0
Eastern;August;79;105.6;0 (0);12.2;0
Eastern;September;71.3;96.6;1 (0);11.2;0
Eastern;October;62;83.8;27 (1);9.9;3
Eastern;November;48.1;66.9;42 (1);8.3;5
Eastern;December;39.3;56.1;59 (2);6.9;6
Edinburgh;January;34.4;41.5;82 (3);3.4;11
Edinburgh;February;34.1;42.4;66 (2);4.1;9
Edinburgh;March;35.5;45.5;65 (2);4.5;10
Edinburgh;April;38.6;50.1;61 (2);6.1;10
Edinburgh;May;43.3;55.2;62 (2);7.3;10
Edinburgh;June;48.6;59.6;71 (2);6.8;10
Edinburgh;July;51.9;63;76 (2);6.9;11
Edinburgh;August;51.6;62.1;80 (3);6.4;10
Edinburgh;September;48.8;58.8;64 (2);5.2;9
Edinburgh;October;44.2;52.6;85 (3);4.4;10
Edinburgh;November;38.6;46;76 (2);3.9;10
Edinburgh;December;34.8;42;80 (3);3.2;10
Eindhoven;January;34.2;42.3;69 (2);3.2;9
Eindhoven;February;33.9;44.2;61 (2);4.1;9
Eindhoven;March;36.9;50.4;60 (2);5.6;9
Eindhoven;April;41.9;58.4;54 (2);8.1;9
Eindhoven;May;49.1;64.9;66 (2);9.0;9
Eindhoven;June;54.4;70.2;72 (2);9.5;9
Eindhoven;July;58.4;73.4;82 (3);9.7;10
Eindhoven;August;57.7;72.3;83 (3);8.7;10
Eindhoven;September;53.4;66.9;68 (2);7.0;9
Eindhoven;October;48;58.9;67 (2);5.2;9
Eindhoven;November;41.1;49.6;68 (2);3.7;10
Eindhoven;December;35.8;43.3;76 (2);3.0;10
Enniscorthy;January;38.5;46.2;83 (3);3.6;9
Enniscorthy;February;38;46.5;63 (2);4.0;9
Enniscorthy;March;38.9;48.9;62 (2);4.7;8
Enniscorthy;April;41.8;52.6;67 (2);6.3;9
Enniscorthy;May;46.7;57.5;64 (2);7.3;9
Enniscorthy;June;51.5;62.1;69 (2);7.2;9
Enniscorthy;July;54.8;65;68 (2);6.7;10
Enniscorthy;August;54.5;64.4;73 (2);6.0;9
Enniscorthy;September;52;61.4;69 (2);4.9;8
Enniscorthy;October;47.9;56;98 (3);4.3;9
Enniscorthy;November;42.4;50.1;97 (3);4.0;10
Enniscorthy;December;39.6;46.9;85 (3);3.4;9
Eureka;January;41.4;53.3;208 (8);5.9;11
Eureka;February;41.5;53.3;181 (7);6.3;10
Eureka;March;42.3;54.4;182 (7);6.9;10
Eureka;April;43.6;56.1;109 (4);7.8;9
Eureka;May;47;59.3;60 (2);8.0;6
Eureka;June;50.2;63.2;27 (1);8.4;3
Eureka;July;53.1;67.5;9 (0);8.0;1
Eureka;August;54;68.5;11 (0);7.0;1
Eureka;September;52.6;68.1;19 (0);7.9;2
Eureka;October;49.1;63.2;80 (3);7.2;5
Eureka;November;45.1;56.8;148 (5);6.3;10
Eureka;December;41.8;52.3;246 (9);5.5;12
Fes;January;39.5;59.3;58 (2);7.1;6
Fes;February;40.7;61.5;58 (2);7.8;6
Fes;March;45.1;66.8;65 (2);8.6;7
Fes;April;49.3;71.2;66 (2);9.2;7
Fes;May;55.7;78.9;50 (1);10.3;6
Fes;June;62.7;88.4;18 (0);11.8;3
Fes;July;67.6;94.6;4 (0);12.4;1
Fes;August;68.9;95.3;8 (0);11.8;1
Fes;September;63.8;86.3;33 (1);10.1;4
Fes;October;57.3;78.6;61 (2);8.9;6
Fes;November;47.4;66.3;70 (2);7.5;6
Fes;December;41.9;61.3;58 (2);7.3;6
Flagstaff;January;23.9;41.2;50 (1);7.7;5
Flagstaff;February;25.1;43.7;54 (2);8.2;5
Flagstaff;March;30.2;51;50 (1);9.6;6
Flagstaff;April;35.8;58.8;34 (1);10.9;5
Flagstaff;May;44.2;68.1;35 (1);12.0;5
Flagstaff;June;54.8;80.1;12 (0);12.9;2
Flagstaff;July;59;80.7;121 (4);11.9;11
Flagstaff;August;57.4;77.2;132 (5);10.9;12
Flagstaff;September;52.7;72.5;67 (2);10.4;7
Flagstaff;October;42.9;62.6;35 (1);9.3;4
Flagstaff;November;33.1;51.5;33 (1);8.4;3
Flagstaff;December;24.3;41.1;45 (1);7.5;4
Florence;January;33.4;46.6;72 (2);4.5;8
Florence;February;33.6;48.8;80 (3);5.3;7
Florence;March;38.6;56;76 (2);6.8;7
Florence;April;44.4;63.1;88 (3);8.7;9
Florence;May;51.4;70.3;74 (2);10.5;6
Florence;June;59.5;79;46 (1);12.0;5
Florence;July;64.4;84.3;31 (1);12.3;3
Florence;August;64.5;84.3;32 (1);11.3;4
Florence;September;57.1;74.9;84 (3);9.1;7
Florence;October;50.6;65.8;117 (4);6.3;9
Florence;November;43;55.7;136 (5);4.8;10
Florence;December;35.6;48.5;99 (3);4.5;9
Florida;January;60.9;73.6;180 (7);7.1;19
Florida;February;61.4;74.3;195 (7);7.2;16
Florida;March;62.3;74.2;275 (10);6.9;20
Florida;April;63.1;73.6;394 (15);6.6;21
Florida;May;63.4;73.1;522 (20);6.8;22
Florida;June;62.9;73;497 (19);7.4;21
Florida;July;62.3;73.1;423 (16);7.8;21
Florida;August;62.6;73.6;342 (13);7.8;21
Florida;September;62.5;73.6;383 (15);7.5;21
Florida;October;62.6;73.1;447 (17);6.4;22
Florida;November;62.6;72.7;441 (17);6.0;21
Florida;December;61.4;73;327 (12);6.6;20
Gallup;January;21.2;40.2;26 (1);7.8;4
Gallup;February;24.4;45.4;25 (0);8.6;4
Gallup;March;30.4;54.8;26 (1);9.8;4
